workerid,proliferate.condition,age,ethnicity,gender,race,error
184,0,33,non_hispanic,male,white,
186,0,25,non_hispanic,male,white,
189,0,26,non_hispanic,female,white,
195,0,23,non_hispanic,male,white,
199,0,31,non_hispanic,female,white,
182,0,38,non_hispanic,male,white,
180,0,27,non_hispanic,female,multiracial,
197,0,38,non_hispanic,male,asian,
179,0,24,non_hispanic,female,white,
188,0,37,hispanic,male,multiracial,
202,0,25,non_hispanic,female,asian,
191,0,39,non_hispanic,male,white,
187,0,26,non_hispanic,female,white,
201,0,43,non_hispanic,male,white,
204,0,29,non_hispanic,female,black,
185,0,21,non_hispanic,non-binary,black,
205,0,65,non_hispanic,female,white,
194,0,27,non_hispanic,female,white,
203,0,21,hispanic,male,other,
183,0,51,non_hispanic,female,white,
