workerid,proliferate.condition,prolificPid,error
174,0,03e1dd24-2cdf-4264-89fc-658c073bd99a,
155,0,0e94cc10-bb19-4eb7-8e33-50e896421f88,
164,0,1b570fa4-48c2-4248-abb1-aa3887965995,
162,0,2493c89e-f6e2-4f32-b685-f6bb8d853143,
166,0,2f9d3103-2aba-49ab-88c4-885d6a653ed3,
159,0,47fea998-2e77-42b0-85b1-70b0e98428d5,
156,0,4f5dfecf-2a47-4333-b8ff-68bd02602e5e,
161,0,64b01a2e-0384-483f-a809-6a2339d0106c,
175,0,7afa95df-e6a6-436e-b2bd-df647f06e235,
163,0,8650d163-75b9-4b24-927c-8d8c2bef1406,
172,0,94ae9e99-9919-47bf-be03-3557a7cc2377,
154,0,96c62482-2155-47d9-a6df-3ee323a6f72e,
169,0,a13ab706-978b-43a3-9d29-b9f0b40cd98a,
165,0,a5a17165-dde9-465c-a086-74222a3e1365,
158,0,b1b11592-0e1e-4c03-a634-9f2a41c51b9d,
171,0,c0b18e4a-bce0-4cdf-a59f-9c424cb4eb04,
170,0,c8e1973d-ae48-4806-8d76-741074334e1a,
167,0,e4392477-8a18-4008-a28d-73fa39977adf,
157,0,e726a5bb-164f-4307-967e-0d0875f12fc0,
153,0,fedc534c-762c-4b21-aebc-c8b7871e899d,
